faculty,program_name,program_code,PG / UG,target,partial_accreditation,full_accreditation,mod_penyampaian
FTMK,Diploma in Computer Science,DCS,UG,2020,,,CONVENTIONAL
FTMK,Bachelor of Computer Science (Computer Networking) with Honours,BITC,UG,2025,,,CONVENTIONAL
FTMK,Bachelor of Computer Science (Database Management) with Honours,BITD,UG,2024,,,CONVENTIONAL
FTMK,Bachelor of Computer Science (Artificial Intelligence) with Honours,BITI,UG,2025,,,CONVENTIONAL
FTMK,Bachelor of Computer Science (Interactive Media) with Honours,BITM,UG,2025,,,CONVENTIONAL
FTMK,Bachelor of Computer Science (Software Development) with Honours,BITS,UG,2025,,,CONVENTIONAL
FTMK,Bachelor of Computer Science (Computer Security) with Honours,BITZ,UG,2025,,,CONVENTIONAL
FTMK,Bachelor of Information Technology (Game Technology) with Honours,BITE,UG,2023,,,CONVENTIONAL
FTMK,Master of Computer Science (Multimedia Computing),MCSM,PG,2023,,,CONVENTIONAL
FTMK,Master of Computer Science (Database Technology),MITD,PG,2022,,,CONVENTIONAL
FTMK,Master of Computer Science (Internetworking Technology),MITI,PG,2022,,,CONVENTIONAL
FTMK,Master in Computer Science (Software Engineering),MITS,PG,2022,,,CONVENTIONAL
FTMK,Master of Computer Science (Security Science),MITZ,PG,2022,,,CONVENTIONAL
FTMK,Master in Mobile Software Development,MMSD,PG,2022,,,CONVENTIONAL
FTMK,Master of Technology (Data Science & Analytics),MTDS,PG,2022,,,CONVENTIONAL
FTMK,Master of Technology in Data Science & Analytics,MTDL,PG,2022,,,CONVENTIONAL
FTMK,Master in Information and Communication Technology,MITA,PG,2022,,,CONVENTIONAL
FTMK,Doctor of Philosophy in Information and Communication Technology,PITA,PG,2022,,,CONVENTIONAL
FTMK,Doctor of Information Technology,PDIT,PG,2022,,,CONVENTIONAL
FTKE,Diploma in Electrical Engineering ,DEL,UG,2020,,,CONVENTIONAL
FTKE,Bachelor of Electrical Engineering with Honours ,BELG,UG,2020,,,CONVENTIONAL
FTKE,Bachelor of Mechatronics Engineering with Honours ,BELM,UG,2020,,,CONVENTIONAL
FTKE,Bachelor of Electrical Engineering Technology (Industrial Power) with Honours ,BELK,UG,2020,,,CONVENTIONAL
FTKE,Bachelor of Electrical Engineering Technology (Industrial Automation & Robotic) with Honours ,BELR,UG,2020,,,CONVENTIONAL
FTKE,Bachelor of Electrical Engineering Technology with Honours ,BELT,UG,2020,,,CONVENTIONAL
FTKE,Bachelor of Technology in Electrical Maintenance System with Honours ,BELS,UG,2026,,,CONVENTIONAL
FTKE,Master of Science (M.Sc.) in Electrical Engineering ,MEKA,PG,2026,,,CONVENTIONAL
FTKE,Master of Science (M.Sc.) in Mechatronics Engineering ,MEKM,PG,2026,,,CONVENTIONAL
FTKE,Master of Electrical Engineering (Industrial Power) ,MEKP,PG,2026,,,CONVENTIONAL
FTKE,Master of Electrical Engineering ,MEKG,PG,2026,,,CONVENTIONAL
FTKE,Master of Mechatronics Engineering ,MEKH ,PG,2026,,,CONVENTIONAL
FTKE,Doctor of Philosophy (Ph. D) ,PEKA,PG,2026,,,CONVENTIONAL
FTKE,Doctor of Engineering (D. Eng),EEKA,PG,2026,,,CONVENTIONAL
FPTT,Bachelor of Technopreneurship,BTEC,UG,2025,,,CONVENTIONAL ,,
FPTT,Bachelor of Technology Management (Technology Innovation),BTMI ,UG,2025,,,CONVENTIONAL
FPTT,Bachelor of Technology Management (High Technology Marketing),BTMM ,UG,2025,,,CONVENTIONAL
FPTT,Bachelor of Technology Management (Supply Chain Management & Logistics),BTMS ,UG,2025,,,CONVENTIONAL
FPTT,Master of Technovation ,MTV,PG,2025,,,CONVENTIONAL
FPTT,Master of Business Administration (Advance Operation Management),MBA,PG,2027,,,ODL
FPTT,Master of Business Administration (Technology and Innovation Management),MBA,PG,2027,,,ODL
FPTT,PhD in Entrepreneurship ,PIPE,PG,2027,,,CONVENTIONAL
FPTT,PhD in Technology Management ,PIPM,PG,2027,,,CONVENTIONAL ,,
FTKEK,Diploma in Electronic Engineering,DER,UG,2021,,,CONVENTIONAL ,,
FTKEK,Bachelor Of Electronic Engineering With Honours,BERG,UG,2023,,,CONVENTIONAL ,,
FTKEK,Bachelor Of Computer Engineering Technology (Computer Systems) With Honours,BERC,UG,2023,,,CONVENTIONAL ,,
FTKEK,Bachelor Of Electronics Engineering Technology (Industrial Electronics) With Honours,BERE,UG,2023,,,CONVENTIONAL ,,
FTKEK,Bachelor Of Electronics Engineering Technology (Telecommunications) With Honours,BERT,UG,2023,,,CONVENTIONAL ,,
FTKEK,Bachelor Of Electronic Engineering Technology With Honours,BERZ,UG,2023,,,CONVENTIONAL ,,
FTKEK,Bachelor Of Technology In Industrial Electronic Automation With Honours,BERL,UG,2023,,,CONVENTIONAL ,,
FTKEK,Bachelor Of Computer Engineering with Honours,BERR,UG,2023,,,CONVENTIONAL ,,
FTKEK,Bachelor Of Technology In Telecommunications,BERW,UG,2024,,,CONVENTIONAL ,,
FTKEK,Master of Science in Electronic Engineering,MENA,PG,2024,,,CONVENTIONAL ,,
FTKEK,Master of Electronic Engineering (Electronic System),MENE,PG,2024,,,CONVENTIONAL ,,
FTKEK,Master of Electronic Engineering  (Telecommunication System),MENT,PG,2024,,,CONVENTIONAL ,,
FTKEK,Master of Electronic Engineering (Computer Engineering),MENC,PG,2024,,,CONVENTIONAL ,,
FTKEK,Doctor of Philosophy (Electronic Engineering),PEKE,PG,2024,,,CONVENTIONAL ,,
FTKEK,Doctor of Philosophy (Computer Engineering),PEKC,PG,2024,,,CONVENTIONAL ,,
FTKEK,Doctor of Philosophy (Telecommunication Systems),PENT,PG,2024,,,CONVENTIONAL ,,
FTKIP,Diploma of Manufacturing Engineering,DMI,UG,2022,,,CONVENTIONAL ,,
FTKIP,Bachelor of Manufacturing Engineering,BMIG,UG,2022,,,CONVENTIONAL ,,
FTKIP,Bachelor of Industrial Engineering,BMIF,UG,2022,,,CONVENTIONAL ,,
FTKIP,Bachelor of Manufacturing Engineering Technology (Product Design),BMID,UG,2022,,,CONVENTIONAL ,,
FTKIP,Bachelor of Manufacturing Engineering Technology (Process and Technology),BMIP,UG,2022,,,CONVENTIONAL ,,
FTKIP,Bachelor of Manufacturing Engineering Technology,BMIW,UG,2022,,,CONVENTIONAL ,,
FTKIP,Bachelor of Technology in Welding ,BMIK,UG,2022,,,CONVENTIONAL ,,
FTKIP,Bachelor of Technology in Industrial Machining,BMIM,UG,2022,,,CONVENTIONAL ,,
FTKIP,Master of Manufacturing Engineering (Advanced Materials & Processing),MMFB,PG,2022,,,CONVENTIONAL ,,
FTKIP,Master of Manufacturing Engineering (Manufacturing System Engineering),MMFS,PG,2020,,,CONVENTIONAL ,,
FTKIP,Master of Manufacturing Engineering (Industrial Engineering),MMFD,PG,2020,,,CONVENTIONAL ,,
FTKIP,Master of Manufacturing Engineering (Quality System Engineering),MMFQ,PG,2020,,,CONVENTIONAL ,,
FTKIP,Master of Science in Manufacturing Engineering ,MMFA,PG,2020,,,CONVENTIONAL ,,
FTKIP,Doctor of Philosophy (Manufacturing Engineering),PMFA,PG,2020,,,CONVENTIONAL ,,
FTKIP,Doctor of Engineering (Manufacturing Engineering),EMFA,PG,2020,,,CONVENTIONAL ,,
FAIX,Bachelor of Computer Science (Computer Security) with Honours,BAXZ,UG,2022,,,CONVENTIONAL ,,
FAIX,Bachelor of Computer Science (Artificial Intelligence) with Honours,BAXI,UG,2022,,,CONVENTIONAL ,,
FAIX,Master of Computer Science (Security Science),,PG,2022,,,CONVENTIONAL ,,
FAIX,Master of Technology (Data Science and Analytics),MAXL,PG,2022,,,ODL,,
FTKM,Diploma in Mechanical Engineering,DMC,UG,2021,,,CONVENTIONAL ,,
FTKM,Bachelor of Automotive Engineering with Honours,BMCK,UG,2021,,,CONVENTIONAL ,,
FTKM,Bachelor of Mechanical Engineering with Honours,BMCG,UG,2021,,,CONVENTIONAL ,,
FTKM,Bachelor of Mechanical Engineering Technology (Automotive Technology) with Honours,BMMA,UG,2021,,,CONVENTIONAL ,,
FTKM,Bachelor of Mechanical Engineering Technology (Refrigeration and AirConditioning Systems) with Honours,BMMH,UG,2021,,,CONVENTIONAL ,,
FTKM,Bachelor of Mechanical Engineering Technology (Maintenance Technology) with Honours,BMMM,UG,2021,,,CONVENTIONAL ,,
FTKM,Bachelor of Mechanical Engineering Technology with Honours,BMMV,UG,2021,,,CONVENTIONAL ,,
FTKM,Bachelor of Manufacturing Engineering Technology (Process and Technology) with Honours,BMMP,UG,2021,,,CONVENTIONAL ,,
FTKM,Bachelor of Manufacturing Engineering Technology (Product Design) with Honours,BMMD,UG,2021,,,CONVENTIONAL ,,
FTKM,Bachelor of Manufacturing Engineering Technology with Honours,BMMW,UG,2021,,,CONVENTIONAL ,,
FTKM,Master of Mechanical Engineering (Energy Engineering),MMKE,PG,2021,,,CONVENTIONAL ,,
FTKM,Master of Mechanical Engineering (Automotive),MMKA,PG,2021,,,CONVENTIONAL ,,
FTKM,Master of Mechanical Engineering (Product Design),MMKD,PG,2021,,,CONVENTIONAL ,,
FTKM,Master of Mechanical Engineering,MMKM,PG,2021,,,CONVENTIONAL ,,
IPTK,Master of Engineering Business Management,MIEM,PG,2023,,,CONVENTIONAL ,,
IPTK,Master of Business Information Management,MIIM,PG,2023,,,CONVENTIONAL ,,
